2024-12-29 17:14:04.870267, Close: 95117.40, PredictedChange:, -0.1232, PredictedValue:, 95234.60, Signal: Hold 
2024-12-29 17:15:05.182371, Close: 95117.39, PredictedChange:, -0.1178, PredictedValue:, 95229.46, Signal: Hold 
2024-12-29 17:16:05.505294, Close: 95117.39, PredictedChange:, -0.0026, PredictedValue:, 95119.82, Signal: Hold 
2024-12-29 17:17:05.761832, Close: 95117.40, PredictedChange:, -0.0223, PredictedValue:, 95138.56, Signal: Hold 
2024-12-29 17:18:06.122689, Close: 95129.63, PredictedChange:, -0.0424, PredictedValue:, 95169.95, Signal: Hold 
2024-12-29 17:38:58.891343, Close: 94990.07, PredictedChange:, 0.1052, PredictedValue:, 94890.13, Signal: Sell 
2024-12-29 17:39:59.279844, Close: 94973.13, PredictedChange:, 0.1486, PredictedValue:, 94832.00, Signal: Sell 
2024-12-29 17:40:59.522136, Close: 94959.60, PredictedChange:, 0.1146, PredictedValue:, 94850.74, Signal: Sell 
2024-12-29 17:41:59.830290, Close: 95004.00, PredictedChange:, 0.0932, PredictedValue:, 94915.43, Signal: Sell 
2024-12-29 17:43:02.655067, Close: 94971.00, PredictedChange:, 0.1362, PredictedValue:, 94841.64, Signal: Sell 
2024-12-29 17:44:03.023210, Close: 94924.82, PredictedChange:, 0.2012, PredictedValue:, 94733.82, Signal: Sell 
2024-12-29 17:45:03.354854, Close: 94953.48, PredictedChange:, 0.1725, PredictedValue:, 94789.67, Signal: Sell 
2024-12-29 17:46:03.630590, Close: 94932.05, PredictedChange:, 0.1948, PredictedValue:, 94747.11, Signal: Sell 
2024-12-29 17:47:03.993907, Close: 94982.91, PredictedChange:, 0.1404, PredictedValue:, 94849.55, Signal: Sell 
2024-12-29 17:48:04.412996, Close: 94914.00, PredictedChange:, 0.2254, PredictedValue:, 94700.03, Signal: Sell 
2024-12-29 17:49:04.695319, Close: 94967.66, PredictedChange:, 0.0243, PredictedValue:, 94944.60, Signal: Hold 
2024-12-29 17:50:05.002687, Close: 94978.06, PredictedChange:, -0.0031, PredictedValue:, 94981.03, Signal: Hold 
2024-12-29 17:51:05.324886, Close: 94986.64, PredictedChange:, -0.0273, PredictedValue:, 95012.56, Signal: Hold 
2024-12-29 17:52:05.624075, Close: 94986.64, PredictedChange:, 0.0179, PredictedValue:, 94969.65, Signal: Hold 
2024-12-29 17:53:05.882677, Close: 94959.23, PredictedChange:, 0.0125, PredictedValue:, 94947.37, Signal: Hold 
2024-12-29 17:54:06.125563, Close: 94936.95, PredictedChange:, -0.0131, PredictedValue:, 94949.38, Signal: Hold 
2024-12-29 17:55:06.972621, Close: 94926.16, PredictedChange:, 0.0287, PredictedValue:, 94898.92, Signal: Hold 
2024-12-29 17:56:07.299494, Close: 94932.84, PredictedChange:, 0.0004, PredictedValue:, 94932.46, Signal: Hold 
2024-12-29 17:57:08.487873, Close: 94935.45, PredictedChange:, 0.0502, PredictedValue:, 94887.80, Signal: Hold 
2024-12-29 17:58:08.848108, Close: 94952.23, PredictedChange:, -0.0390, PredictedValue:, 94989.30, Signal: Hold 
2024-12-29 17:59:09.145648, Close: 94900.83, PredictedChange:, 0.0708, PredictedValue:, 94833.65, Signal: Hold 
2024-12-29 18:00:10.049513, Close: 94907.89, PredictedChange:, 0.0727, PredictedValue:, 94838.89, Signal: Hold 
2024-12-29 18:01:10.596383, Close: 94916.60, PredictedChange:, 0.0728, PredictedValue:, 94847.54, Signal: Hold 
2024-12-29 18:02:10.920559, Close: 94900.01, PredictedChange:, 0.0919, PredictedValue:, 94812.79, Signal: Sell 
2024-12-29 18:03:11.235055, Close: 94900.00, PredictedChange:, 0.0635, PredictedValue:, 94839.77, Signal: Hold 
2024-12-29 13:03:00, Close: 94887.50, PredictedChange:, 0.0518, PredictedValue:, 94838.35, Signal: Hold 
2024-12-29 13:04:00, Close: 94946.71, PredictedChange:, -0.0190, PredictedValue:, 94964.73, Signal: Hold 
2024-12-29 13:05:00, Close: 94974.61, PredictedChange:, -0.0705, PredictedValue:, 95041.61, Signal: Hold 
2024-12-29 13:06:00, Close: 95000.00, PredictedChange:, -0.0623, PredictedValue:, 95059.16, Signal: Hold 
2024-12-29 13:07:00, Close: 94969.41, PredictedChange:, -0.0367, PredictedValue:, 95004.24, Signal: Hold 
2024-12-29 13:08:00, Close: 95009.22, PredictedChange:, -0.0934, PredictedValue:, 95097.99, Signal: Hold 
2024-12-29 13:09:00, Close: 94974.66, PredictedChange:, -0.0721, PredictedValue:, 95043.11, Signal: Hold 
2024-12-29 13:10:00, Close: 94948.32, PredictedChange:, -0.0502, PredictedValue:, 94996.01, Signal: Hold 
2024-12-29 13:11:00, Close: 94971.03, PredictedChange:, -0.0751, PredictedValue:, 95042.37, Signal: Hold 
2024-12-29 13:12:00, Close: 94969.45, PredictedChange:, -0.0736, PredictedValue:, 95039.37, Signal: Hold 
2024-12-29 13:13:00, Close: 94950.44, PredictedChange:, -0.0659, PredictedValue:, 95013.00, Signal: Hold 
2024-12-29 13:14:00, Close: 94982.78, PredictedChange:, -0.0382, PredictedValue:, 95019.07, Signal: Hold 
2024-12-29 13:15:00, Close: 94989.68, PredictedChange:, -0.0183, PredictedValue:, 95007.03, Signal: Hold 
2024-12-29 13:16:00, Close: 94989.68, PredictedChange:, 0.0107, PredictedValue:, 94979.50, Signal: Hold 
2024-12-29 13:17:00, Close: 94978.35, PredictedChange:, -0.0094, PredictedValue:, 94987.30, Signal: Hold 
2024-12-29 13:18:00, Close: 94990.04, PredictedChange:, 0.0208, PredictedValue:, 94970.26, Signal: Hold 
2024-12-29 13:19:00, Close: 95015.17, PredictedChange:, -0.0428, PredictedValue:, 95055.87, Signal: Hold 
2024-12-29 13:20:00, Close: 94994.04, PredictedChange:, -0.0474, PredictedValue:, 95039.07, Signal: Hold 
2024-12-29 13:21:00, Close: 94960.70, PredictedChange:, 0.0113, PredictedValue:, 94949.98, Signal: Hold 
2024-12-29 13:22:00, Close: 94996.08, PredictedChange:, -0.0272, PredictedValue:, 95021.92, Signal: Hold 
2024-12-29 13:23:00, Close: 95008.87, PredictedChange:, -0.0610, PredictedValue:, 95066.86, Signal: Hold 
2024-12-29 13:24:00, Close: 94998.51, PredictedChange:, -0.0171, PredictedValue:, 95014.77, Signal: Hold 
2024-12-29 13:25:00, Close: 94985.18, PredictedChange:, 0.0034, PredictedValue:, 94982.00, Signal: Hold 
2024-12-29 13:26:00, Close: 94933.61, PredictedChange:, 0.0594, PredictedValue:, 94877.18, Signal: Hold 
2024-12-29 13:27:00, Close: 94961.91, PredictedChange:, 0.0173, PredictedValue:, 94945.44, Signal: Hold 
2024-12-29 13:28:00, Close: 94940.01, PredictedChange:, 0.0511, PredictedValue:, 94891.52, Signal: Hold 
2024-12-29 13:29:00, Close: 94912.88, PredictedChange:, 0.1076, PredictedValue:, 94810.72, Signal: Sell 
2024-12-29 13:30:00, Close: 94893.48, PredictedChange:, 0.1052, PredictedValue:, 94793.67, Signal: Sell 
2024-12-29 13:31:00, Close: 94878.77, PredictedChange:, 0.0887, PredictedValue:, 94794.62, Signal: Hold 
2024-12-29 13:32:00, Close: 94857.54, PredictedChange:, 0.1469, PredictedValue:, 94718.22, Signal: Sell 
2024-12-29 13:33:00, Close: 94886.76, PredictedChange:, 0.1301, PredictedValue:, 94763.30, Signal: Sell 
2024-12-29 13:34:00, Close: 94877.98, PredictedChange:, 0.1267, PredictedValue:, 94757.76, Signal: Sell 
2024-12-29 13:35:00, Close: 94899.42, PredictedChange:, 0.0901, PredictedValue:, 94813.92, Signal: Sell 
2024-12-29 13:36:00, Close: 94910.54, PredictedChange:, 0.0255, PredictedValue:, 94886.30, Signal: Hold 
2024-12-29 13:37:00, Close: 94917.34, PredictedChange:, 0.0472, PredictedValue:, 94872.54, Signal: Hold 
2024-12-29 13:38:00, Close: 94943.77, PredictedChange:, -0.0034, PredictedValue:, 94947.01, Signal: Hold 
2024-12-29 13:39:00, Close: 94933.82, PredictedChange:, -0.0216, PredictedValue:, 94954.35, Signal: Hold 
2024-12-29 13:40:00, Close: 94917.71, PredictedChange:, -0.0237, PredictedValue:, 94940.22, Signal: Hold 
2024-12-29 13:41:00, Close: 94852.56, PredictedChange:, 0.0293, PredictedValue:, 94824.74, Signal: Hold 
2024-12-29 13:42:00, Close: 94865.25, PredictedChange:, -0.0068, PredictedValue:, 94871.71, Signal: Hold 
